ALOO-PARATHAS,TOMATO SAUCE, GREEN CHUTNEY,TOMATO CHUTNEY;ALOO KARELA FRY, MUNG DAL, CURD-RICE / CURD; RAZMA Or (TURAI POSTO / BHINDI POSTO), AAM MASOOR DAL;
PAV-BHAJI; Mix Veg Dal/MASOOR DAL, ALOO JEERA FRY, CURD; CHOLE BHATURE, CHANA DAL, ALOO TOMATO CURRY, TAMARIND RICE, KHEER / SEWAI;
IDLI, VADA (2 Pc.), SAMBAR, NARIYAL CHUTNEY, GARLIC CHUTNEY;BHINDI FRY, ARHAR DAL, CURD / GREEN GRAPES / LASSI;BRINJAL BHARTA ROASTED, MASOOR DAL FRY;
VEG SANDWICH;CHILLI ALOO/LAUKI CHANA DAAL, KADHI PAKODI, CURD/WATER MELON/BEL JUICE;PANEER BUTTER MASALA, PLAIN MAIDA NAAN, TANDOORI ROTI, MATAR PULAO, MIXED FRUIT RAITA;
POORI ( AATA + MAIDA), ALOO MATAR;SOYABEAN ALOO, MUNG DAL, CURD/GREEN GRAPES/LASSI;ALOO BARBATI, ARHAR DAL;
MASALA DOSA, SAMBAR, NARIYAL CHUTNEY, TOMATO CHUTNEY;ALOO PARATHA, ALOO PARWAL GRAVY/DAHI PARWAL, CURD/AAM PANNA;PULAV, KANCHHA KELA MALAI KOFTA;
POHA RICE, DAHI, JALEBI;METHI MALAI PANEER/CHILLI PANEER, MASOOR DAL, CURD/WATER MELON;KASHMIRI ALOO DUM, PLAIN PARATHA, ONION RING, GREEN CHUTNEY, KULFI/ICE CREAM;
